Mouse Hareket Etti - X: 409, Y: 382, Zaman: 143 ms
Mouse Hareket Etti - X: 518, Y: 372, Zaman: 178 ms
Mouse Hareket Etti - X: 521, Y: 371, Zaman: 179 ms
Mouse Hareket Etti - X: 526, Y: 371, Zaman: 180 ms
Mouse Hareket Etti - X: 531, Y: 370, Zaman: 181 ms
Mouse Hareket Etti - X: 536, Y: 370, Zaman: 182 ms
Mouse Hareket Etti - X: 542, Y: 369, Zaman: 183 ms
Mouse Hareket Etti - X: 546, Y: 369, Zaman: 184 ms
Mouse Hareket Etti - X: 551, Y: 368, Zaman: 185 ms
Mouse Hareket Etti - X: 557, Y: 368, Zaman: 186 ms
Mouse Hareket Etti - X: 561, Y: 367, Zaman: 187 ms
Mouse Hareket Etti - X: 567, Y: 367, Zaman: 188 ms
Mouse Hareket Etti - X: 572, Y: 366, Zaman: 189 ms
Mouse Hareket Etti - X: 578, Y: 366, Zaman: 190 ms
Mouse Hareket Etti - X: 585, Y: 365, Zaman: 191 ms
Mouse Hareket Etti - X: 589, Y: 365, Zaman: 192 ms
Mouse Hareket Etti - X: 593, Y: 365, Zaman: 193 ms
Mouse Hareket Etti - X: 600, Y: 364, Zaman: 194 ms
Mouse Hareket Etti - X: 605, Y: 363, Zaman: 195 ms
Mouse Hareket Etti - X: 808, Y: 342, Zaman: 230 ms
Mouse Hareket Etti - X: 814, Y: 341, Zaman: 231 ms
Mouse Hareket Etti - X: 820, Y: 341, Zaman: 232 ms
Mouse Hareket Etti - X: 824, Y: 340, Zaman: 233 ms
Mouse Hareket Etti - X: 829, Y: 339, Zaman: 234 ms
Mouse Hareket Etti - X: 834, Y: 338, Zaman: 235 ms
Mouse Hareket Etti - X: 841, Y: 337, Zaman: 236 ms
Mouse Hareket Etti - X: 844, Y: 337, Zaman: 237 ms
Mouse Hareket Etti - X: 848, Y: 336, Zaman: 238 ms
Mouse Hareket Etti - X: 854, Y: 335, Zaman: 239 ms
Mouse Hareket Etti - X: 858, Y: 335, Zaman: 240 ms
Mouse Hareket Etti - X: 862, Y: 334, Zaman: 241 ms
Mouse Hareket Etti - X: 867, Y: 333, Zaman: 242 ms
Mouse Hareket Etti - X: 871, Y: 332, Zaman: 243 ms
Mouse Hareket Etti - X: 875, Y: 331, Zaman: 244 ms
Mouse Hareket Etti - X: 880, Y: 330, Zaman: 245 ms
Mouse Hareket Etti - X: 883, Y: 330, Zaman: 246 ms
Mouse Hareket Etti - X: 887, Y: 330, Zaman: 247 ms
Mouse Hareket Etti - X: 891, Y: 329, Zaman: 248 ms
Mouse Hareket Etti - X: 894, Y: 328, Zaman: 249 ms
Mouse Hareket Etti - X: 898, Y: 327, Zaman: 250 ms
Mouse Hareket Etti - X: 902, Y: 326, Zaman: 251 ms
Mouse Hareket Etti - X: 905, Y: 326, Zaman: 252 ms
Mouse Hareket Etti - X: 908, Y: 326, Zaman: 253 ms
Mouse Hareket Etti - X: 911, Y: 325, Zaman: 254 ms
Mouse Hareket Etti - X: 914, Y: 324, Zaman: 255 ms
Mouse Hareket Etti - X: 917, Y: 323, Zaman: 256 ms
Mouse Hareket Etti - X: 920, Y: 323, Zaman: 257 ms
Mouse Hareket Etti - X: 922, Y: 323, Zaman: 258 ms
Mouse Hareket Etti - X: 925, Y: 322, Zaman: 259 ms
Mouse Hareket Etti - X: 928, Y: 322, Zaman: 260 ms
Mouse Hareket Etti - X: 930, Y: 321, Zaman: 261 ms
Mouse Hareket Etti - X: 932, Y: 321, Zaman: 262 ms
Mouse Hareket Etti - X: 935, Y: 320, Zaman: 263 ms
Mouse Hareket Etti - X: 937, Y: 320, Zaman: 264 ms
Mouse Hareket Etti - X: 939, Y: 320, Zaman: 265 ms
Mouse Hareket Etti - X: 941, Y: 319, Zaman: 266 ms
Mouse Hareket Etti - X: 943, Y: 319, Zaman: 267 ms
Mouse Hareket Etti - X: 945, Y: 319, Zaman: 268 ms
Mouse Hareket Etti - X: 948, Y: 318, Zaman: 269 ms
Mouse Hareket Etti - X: 949, Y: 318, Zaman: 270 ms
Mouse Hareket Etti - X: 951, Y: 318, Zaman: 271 ms
Mouse Hareket Etti - X: 952, Y: 318, Zaman: 272 ms
Mouse Hareket Etti - X: 954, Y: 318, Zaman: 273 ms
Mouse Hareket Etti - X: 955, Y: 318, Zaman: 274 ms
Mouse Hareket Etti - X: 956, Y: 318, Zaman: 275 ms
Mouse Hareket Etti - X: 958, Y: 317, Zaman: 276 ms
Mouse Hareket Etti - X: 959, Y: 317, Zaman: 277 ms
Mouse Hareket Etti - X: 960, Y: 317, Zaman: 278 ms
Mouse Hareket Etti - X: 961, Y: 317, Zaman: 279 ms
Mouse Hareket Etti - X: 962, Y: 317, Zaman: 280 ms
Mouse Hareket Etti - X: 963, Y: 317, Zaman: 281 ms
Mouse Hareket Etti - X: 964, Y: 317, Zaman: 282 ms
Mouse Hareket Etti - X: 965, Y: 317, Zaman: 284 ms
Mouse Hareket Etti - X: 966, Y: 317, Zaman: 286 ms
Mouse Hareket Etti - X: 967, Y: 317, Zaman: 288 ms
Mouse Hareket Etti - X: 967, Y: 318, Zaman: 289 ms
Mouse Hareket Etti - X: 967, Y: 319, Zaman: 296 ms
Mouse Hareket Etti - X: 966, Y: 320, Zaman: 302 ms
Mouse Hareket Etti - X: 965, Y: 320, Zaman: 304 ms
Mouse Hareket Etti - X: 964, Y: 321, Zaman: 306 ms
Mouse Hareket Etti - X: 962, Y: 322, Zaman: 308 ms
Mouse Hareket Etti - X: 961, Y: 323, Zaman: 310 ms
Mouse Hareket Etti - X: 959, Y: 323, Zaman: 311 ms
Mouse Hareket Etti - X: 957, Y: 324, Zaman: 313 ms
Mouse Hareket Etti - X: 956, Y: 324, Zaman: 314 ms
Mouse Hareket Etti - X: 955, Y: 325, Zaman: 315 ms
Mouse Hareket Etti - X: 953, Y: 325, Zaman: 316 ms
Mouse Hareket Etti - X: 951, Y: 326, Zaman: 317 ms
Mouse Hareket Etti - X: 949, Y: 327, Zaman: 318 ms
Mouse Hareket Etti - X: 947, Y: 328, Zaman: 319 ms
Mouse Hareket Etti - X: 945, Y: 328, Zaman: 320 ms
Mouse Hareket Etti - X: 942, Y: 329, Zaman: 321 ms
Mouse Hareket Etti - X: 940, Y: 330, Zaman: 322 ms
Mouse Hareket Etti - X: 938, Y: 330, Zaman: 323 ms
Mouse Hareket Etti - X: 935, Y: 331, Zaman: 324 ms
Mouse Hareket Etti - X: 933, Y: 332, Zaman: 325 ms
Mouse Hareket Etti - X: 931, Y: 333, Zaman: 326 ms
Mouse Hareket Etti - X: 927, Y: 334, Zaman: 327 ms
Mouse Hareket Etti - X: 924, Y: 335, Zaman: 328 ms
Mouse Hareket Etti - X: 920, Y: 336, Zaman: 329 ms
Mouse Hareket Etti - X: 917, Y: 337, Zaman: 330 ms
Mouse Hareket Etti - X: 914, Y: 337, Zaman: 331 ms
Mouse Hareket Etti - X: 909, Y: 338, Zaman: 332 ms
Mouse Hareket Etti - X: 905, Y: 339, Zaman: 333 ms
Mouse Hareket Etti - X: 902, Y: 340, Zaman: 334 ms
Mouse Hareket Etti - X: 896, Y: 342, Zaman: 335 ms
Mouse Hareket Etti - X: 893, Y: 343, Zaman: 336 ms
Mouse Hareket Etti - X: 888, Y: 344, Zaman: 337 ms
Mouse Hareket Etti - X: 883, Y: 344, Zaman: 338 ms
Mouse Hareket Etti - X: 879, Y: 345, Zaman: 339 ms
Mouse Hareket Etti - X: 872, Y: 346, Zaman: 340 ms
Mouse Hareket Etti - X: 867, Y: 348, Zaman: 341 ms
Mouse Hareket Etti - X: 861, Y: 349, Zaman: 342 ms
Mouse Hareket Etti - X: 856, Y: 350, Zaman: 343 ms
Mouse Hareket Etti - X: 851, Y: 351, Zaman: 344 ms
Mouse Hareket Etti - X: 842, Y: 352, Zaman: 345 ms
Mouse Hareket Etti - X: 837, Y: 353, Zaman: 346 ms
Mouse Hareket Etti - X: 831, Y: 353, Zaman: 347 ms
Mouse Hareket Etti - X: 823, Y: 355, Zaman: 348 ms
Mouse Hareket Etti - X: 816, Y: 356, Zaman: 349 ms
Mouse Hareket Etti - X: 808, Y: 357, Zaman: 350 ms
Mouse Hareket Etti - X: 603, Y: 382, Zaman: 373 ms
Mouse Hareket Etti - X: 591, Y: 383, Zaman: 374 ms
Mouse Hareket Etti - X: 582, Y: 384, Zaman: 375 ms
Mouse Hareket Etti - X: 573, Y: 385, Zaman: 376 ms
Mouse Hareket Etti - X: 559, Y: 386, Zaman: 377 ms
Mouse Hareket Etti - X: 550, Y: 387, Zaman: 378 ms
Mouse Hareket Etti - X: 542, Y: 388, Zaman: 379 ms
Mouse Hareket Etti - X: 528, Y: 388, Zaman: 380 ms
Mouse Hareket Etti - X: 519, Y: 389, Zaman: 381 ms
Mouse Hareket Etti - X: 509, Y: 390, Zaman: 382 ms
Mouse Hareket Etti - X: 496, Y: 391, Zaman: 383 ms
Mouse Hareket Etti - X: 487, Y: 392, Zaman: 384 ms
Mouse Hareket Etti - X: 475, Y: 393, Zaman: 385 ms
Mouse Hareket Etti - X: 465, Y: 395, Zaman: 386 ms
Mouse Hareket Etti - X: 456, Y: 395, Zaman: 387 ms
Mouse Hareket Etti - X: 444, Y: 396, Zaman: 388 ms
Mouse Hareket Etti - X: 434, Y: 397, Zaman: 389 ms
Mouse Hareket Etti - X: 425, Y: 398, Zaman: 390 ms
Mouse Hareket Etti - X: 413, Y: 399, Zaman: 391 ms
Mouse Hareket Etti - X: 206, Y: 411, Zaman: 414 ms
Mouse Hareket Etti - X: 200, Y: 411, Zaman: 415 ms
Mouse Hareket Etti - X: 195, Y: 411, Zaman: 416 ms
Mouse Hareket Etti - X: 188, Y: 411, Zaman: 417 ms
Mouse Hareket Etti - X: 183, Y: 412, Zaman: 418 ms
Mouse Hareket Etti - X: 176, Y: 412, Zaman: 419 ms
Mouse Hareket Etti - X: 172, Y: 412, Zaman: 420 ms
Mouse Hareket Etti - X: 168, Y: 412, Zaman: 421 ms
Mouse Hareket Etti - X: 162, Y: 413, Zaman: 422 ms
Mouse Hareket Etti - X: 158, Y: 413, Zaman: 423 ms
Mouse Hareket Etti - X: 155, Y: 413, Zaman: 424 ms
Mouse Hareket Etti - X: 150, Y: 413, Zaman: 425 ms
Mouse Hareket Etti - X: 147, Y: 413, Zaman: 426 ms
Mouse Hareket Etti - X: 143, Y: 413, Zaman: 427 ms
Mouse Hareket Etti - X: 141, Y: 413, Zaman: 428 ms
Mouse Hareket Etti - X: 138, Y: 413, Zaman: 429 ms
Mouse Hareket Etti - X: 135, Y: 413, Zaman: 430 ms
Mouse Hareket Etti - X: 133, Y: 413, Zaman: 431 ms
Mouse Hareket Etti - X: 131, Y: 413, Zaman: 432 ms
Mouse Hareket Etti - X: 128, Y: 413, Zaman: 433 ms
Mouse Hareket Etti - X: 127, Y: 413, Zaman: 434 ms
Mouse Hareket Etti - X: 126, Y: 413, Zaman: 435 ms
Mouse Hareket Etti - X: 125, Y: 413, Zaman: 436 ms
Mouse Hareket Etti - X: 123, Y: 413, Zaman: 437 ms
Mouse Hareket Etti - X: 122, Y: 413, Zaman: 439 ms
Mouse Hareket Etti - X: 121, Y: 413, Zaman: 441 ms
Mouse Hareket Etti - X: 121, Y: 412, Zaman: 443 ms
Mouse Hareket Etti - X: 122, Y: 412, Zaman: 451 ms
Mouse Hareket Etti - X: 123, Y: 412, Zaman: 453 ms
Mouse Hareket Etti - X: 125, Y: 411, Zaman: 454 ms
Mouse Hareket Etti - X: 127, Y: 411, Zaman: 456 ms
Mouse Hareket Etti - X: 128, Y: 410, Zaman: 457 ms
Mouse Hareket Etti - X: 129, Y: 410, Zaman: 458 ms
Mouse Hareket Etti - X: 131, Y: 409, Zaman: 459 ms
Mouse Hareket Etti - X: 133, Y: 409, Zaman: 460 ms
Mouse Hareket Etti - X: 135, Y: 409, Zaman: 461 ms
Mouse Hareket Etti - X: 137, Y: 409, Zaman: 462 ms
Mouse Hareket Etti - X: 139, Y: 408, Zaman: 463 ms
Mouse Hareket Etti - X: 141, Y: 408, Zaman: 464 ms
Mouse Hareket Etti - X: 144, Y: 407, Zaman: 465 ms
Mouse Hareket Etti - X: 147, Y: 407, Zaman: 466 ms
Mouse Hareket Etti - X: 149, Y: 407, Zaman: 467 ms
Mouse Hareket Etti - X: 152, Y: 406, Zaman: 468 ms
Mouse Hareket Etti - X: 154, Y: 405, Zaman: 469 ms
Mouse Hareket Etti - X: 158, Y: 404, Zaman: 470 ms
Mouse Hareket Etti - X: 161, Y: 403, Zaman: 471 ms
Mouse Hareket Etti - X: 164, Y: 403, Zaman: 472 ms
Mouse Hareket Etti - X: 169, Y: 402, Zaman: 473 ms
Mouse Hareket Etti - X: 172, Y: 401, Zaman: 474 ms
Mouse Hareket Etti - X: 175, Y: 400, Zaman: 475 ms
Mouse Hareket Etti - X: 179, Y: 399, Zaman: 476 ms
Mouse Hareket Etti - X: 182, Y: 399, Zaman: 477 ms
Mouse Hareket Etti - X: 188, Y: 398, Zaman: 478 ms
Mouse Hareket Etti - X: 192, Y: 397, Zaman: 479 ms
Mouse Hareket Etti - X: 197, Y: 396, Zaman: 480 ms
Mouse Hareket Etti - X: 202, Y: 394, Zaman: 481 ms
Mouse Hareket Etti - X: 205, Y: 393, Zaman: 482 ms
Mouse Hareket Etti - X: 408, Y: 349, Zaman: 514 ms
Mouse Hareket Etti - X: 417, Y: 348, Zaman: 515 ms
Mouse Hareket Etti - X: 422, Y: 347, Zaman: 516 ms
Mouse Hareket Etti - X: 428, Y: 345, Zaman: 517 ms
Mouse Hareket Etti - X: 436, Y: 344, Zaman: 518 ms
Mouse Hareket Etti - X: 442, Y: 344, Zaman: 519 ms
Mouse Hareket Etti - X: 447, Y: 343, Zaman: 520 ms
Mouse Hareket Etti - X: 456, Y: 342, Zaman: 521 ms
Mouse Hareket Etti - X: 461, Y: 341, Zaman: 522 ms
Mouse Hareket Etti - X: 469, Y: 339, Zaman: 523 ms
Mouse Hareket Etti - X: 475, Y: 338, Zaman: 524 ms
Mouse Hareket Etti - X: 482, Y: 337, Zaman: 525 ms
Mouse Hareket Etti - X: 489, Y: 336, Zaman: 526 ms
Mouse Hareket Etti - X: 494, Y: 335, Zaman: 527 ms
Mouse Hareket Etti - X: 500, Y: 333, Zaman: 528 ms
Mouse Hareket Etti - X: 508, Y: 332, Zaman: 529 ms
Mouse Hareket Etti - X: 514, Y: 331, Zaman: 530 ms
Mouse Hareket Etti - X: 521, Y: 330, Zaman: 531 ms
Mouse Hareket Etti - X: 526, Y: 329, Zaman: 532 ms
Mouse Hareket Etti - X: 532, Y: 328, Zaman: 533 ms
Mouse Hareket Etti - X: 540, Y: 327, Zaman: 534 ms
Mouse Hareket Etti - X: 545, Y: 326, Zaman: 535 ms
Mouse Hareket Etti - X: 550, Y: 325, Zaman: 536 ms
Mouse Hareket Etti - X: 557, Y: 324, Zaman: 537 ms
Mouse Hareket Etti - X: 563, Y: 323, Zaman: 538 ms
Mouse Hareket Etti - X: 570, Y: 322, Zaman: 539 ms
Mouse Hareket Etti - X: 574, Y: 322, Zaman: 540 ms
Mouse Hareket Etti - X: 578, Y: 321, Zaman: 541 ms
Mouse Hareket Etti - X: 585, Y: 320, Zaman: 542 ms
Mouse Hareket Etti - X: 589, Y: 320, Zaman: 543 ms
Mouse Hareket Etti - X: 593, Y: 320, Zaman: 544 ms
Mouse Hareket Etti - X: 600, Y: 319, Zaman: 545 ms
Mouse Hareket Etti - X: 604, Y: 319, Zaman: 546 ms
Mouse Hareket Etti - X: 610, Y: 318, Zaman: 547 ms
Mouse Hareket Etti - X: 614, Y: 317, Zaman: 548 ms
Mouse Hareket Etti - X: 617, Y: 317, Zaman: 549 ms
Mouse Hareket Etti - X: 622, Y: 316, Zaman: 550 ms
Mouse Hareket Etti - X: 627, Y: 316, Zaman: 551 ms
Mouse Hareket Etti - X: 630, Y: 315, Zaman: 552 ms
Mouse Hareket Etti - X: 634, Y: 314, Zaman: 553 ms
Mouse Hareket Etti - X: 638, Y: 314, Zaman: 554 ms
Mouse Hareket Etti - X: 642, Y: 313, Zaman: 555 ms
Mouse Hareket Etti - X: 645, Y: 313, Zaman: 556 ms
Mouse Hareket Etti - X: 648, Y: 313, Zaman: 557 ms
Mouse Hareket Etti - X: 652, Y: 313, Zaman: 558 ms
Mouse Hareket Etti - X: 655, Y: 313, Zaman: 559 ms
Mouse Hareket Etti - X: 658, Y: 312, Zaman: 560 ms
Mouse Hareket Etti - X: 661, Y: 312, Zaman: 561 ms
Mouse Hareket Etti - X: 663, Y: 312, Zaman: 562 ms
Mouse Hareket Etti - X: 667, Y: 311, Zaman: 563 ms
Mouse Hareket Etti - X: 669, Y: 311, Zaman: 564 ms
Mouse Hareket Etti - X: 671, Y: 311, Zaman: 565 ms
Mouse Hareket Etti - X: 674, Y: 310, Zaman: 566 ms
Mouse Hareket Etti - X: 676, Y: 310, Zaman: 567 ms
Mouse Hareket Etti - X: 679, Y: 310, Zaman: 568 ms
Mouse Hareket Etti - X: 681, Y: 310, Zaman: 569 ms
Mouse Hareket Etti - X: 682, Y: 310, Zaman: 570 ms
Mouse Hareket Etti - X: 684, Y: 310, Zaman: 571 ms
Mouse Hareket Etti - X: 686, Y: 310, Zaman: 572 ms
Mouse Hareket Etti - X: 688, Y: 310, Zaman: 573 ms
Mouse Hareket Etti - X: 689, Y: 310, Zaman: 574 ms
Mouse Hareket Etti - X: 690, Y: 310, Zaman: 575 ms
Mouse Hareket Etti - X: 692, Y: 310, Zaman: 576 ms
Mouse Hareket Etti - X: 693, Y: 310, Zaman: 577 ms
Mouse Hareket Etti - X: 695, Y: 310, Zaman: 579 ms
Mouse Hareket Etti - X: 696, Y: 310, Zaman: 581 ms
Mouse Hareket Etti - X: 697, Y: 310, Zaman: 582 ms
Mouse Hareket Etti - X: 698, Y: 310, Zaman: 584 ms
Mouse Hareket Etti - X: 699, Y: 310, Zaman: 586 ms
Mouse Hareket Etti - X: 698, Y: 310, Zaman: 599 ms
Mouse Hareket Etti - X: 698, Y: 311, Zaman: 600 ms
Mouse Hareket Etti - X: 697, Y: 311, Zaman: 601 ms
Mouse Hareket Etti - X: 696, Y: 311, Zaman: 603 ms
Mouse Hareket Etti - X: 695, Y: 312, Zaman: 605 ms
Mouse Hareket Etti - X: 694, Y: 313, Zaman: 606 ms
Mouse Hareket Etti - X: 693, Y: 313, Zaman: 607 ms
Mouse Hareket Etti - X: 692, Y: 313, Zaman: 608 ms
Mouse Hareket Etti - X: 691, Y: 314, Zaman: 609 ms
Mouse Hareket Etti - X: 689, Y: 315, Zaman: 610 ms
Mouse Hareket Etti - X: 688, Y: 315, Zaman: 611 ms
Mouse Hareket Etti - X: 686, Y: 316, Zaman: 612 ms
Mouse Hareket Etti - X: 685, Y: 316, Zaman: 613 ms
Mouse Hareket Etti - X: 683, Y: 317, Zaman: 614 ms
Mouse Hareket Etti - X: 681, Y: 317, Zaman: 615 ms
Mouse Hareket Etti - X: 679, Y: 318, Zaman: 616 ms
Mouse Hareket Etti - X: 676, Y: 320, Zaman: 617 ms
Mouse Hareket Etti - X: 675, Y: 320, Zaman: 618 ms
Mouse Hareket Etti - X: 672, Y: 321, Zaman: 619 ms
Mouse Hareket Etti - X: 670, Y: 322, Zaman: 620 ms
Mouse Hareket Etti - X: 667, Y: 323, Zaman: 621 ms
Mouse Hareket Etti - X: 664, Y: 323, Zaman: 622 ms
Mouse Hareket Etti - X: 661, Y: 325, Zaman: 623 ms
Mouse Hareket Etti - X: 659, Y: 326, Zaman: 624 ms
Mouse Hareket Etti - X: 655, Y: 327, Zaman: 625 ms
Mouse Hareket Etti - X: 652, Y: 327, Zaman: 626 ms
Mouse Hareket Etti - X: 647, Y: 329, Zaman: 627 ms
Mouse Hareket Etti - X: 644, Y: 330, Zaman: 628 ms
Mouse Hareket Etti - X: 607, Y: 341, Zaman: 636 ms
Mouse Hareket Etti - X: 602, Y: 342, Zaman: 637 ms
Mouse Hareket Etti - X: 595, Y: 344, Zaman: 638 ms
Mouse Hareket Etti - X: 590, Y: 344, Zaman: 639 ms
Mouse Hareket Etti - X: 585, Y: 345, Zaman: 640 ms
Mouse Hareket Etti - X: 576, Y: 347, Zaman: 641 ms
Mouse Hareket Etti - X: 571, Y: 348, Zaman: 642 ms
Mouse Hareket Etti - X: 565, Y: 349, Zaman: 643 ms
Mouse Hareket Etti - X: 557, Y: 351, Zaman: 644 ms
Mouse Hareket Etti - X: 551, Y: 352, Zaman: 645 ms
Mouse Hareket Etti - X: 543, Y: 354, Zaman: 646 ms
Mouse Hareket Etti - X: 536, Y: 355, Zaman: 647 ms
Mouse Hareket Etti - X: 529, Y: 356, Zaman: 648 ms
Mouse Hareket Etti - X: 520, Y: 357, Zaman: 649 ms
Mouse Hareket Etti - X: 513, Y: 359, Zaman: 650 ms
Mouse Hareket Etti - X: 505, Y: 360, Zaman: 651 ms
Mouse Hareket Etti - X: 495, Y: 362, Zaman: 652 ms
Mouse Hareket Etti - X: 488, Y: 363, Zaman: 653 ms
Mouse Hareket Etti - X: 477, Y: 365, Zaman: 654 ms
Mouse Hareket Etti - X: 471, Y: 366, Zaman: 655 ms
Mouse Hareket Etti - X: 462, Y: 367, Zaman: 656 ms
Mouse Hareket Etti - X: 452, Y: 368, Zaman: 657 ms
Mouse Hareket Etti - X: 443, Y: 370, Zaman: 658 ms
Mouse Hareket Etti - X: 434, Y: 371, Zaman: 659 ms
Mouse Hareket Etti - X: 426, Y: 372, Zaman: 660 ms
Mouse Hareket Etti - X: 418, Y: 373, Zaman: 661 ms
Mouse Hareket Etti - X: 203, Y: 397, Zaman: 683 ms
Mouse Hareket Etti - X: 195, Y: 398, Zaman: 684 ms
Mouse Hareket Etti - X: 187, Y: 399, Zaman: 685 ms
Mouse Hareket Etti - X: 176, Y: 400, Zaman: 686 ms
Mouse Hareket Etti - X: 168, Y: 401, Zaman: 687 ms
Mouse Hareket Etti - X: 160, Y: 402, Zaman: 688 ms
Mouse Hareket Etti - X: 149, Y: 403, Zaman: 689 ms
Mouse Hareket Etti - X: 142, Y: 404, Zaman: 690 ms
Mouse Hareket Etti - X: 131, Y: 405, Zaman: 691 ms
Mouse Hareket Etti - X: 125, Y: 406, Zaman: 692 ms
Mouse Hareket Etti - X: 118, Y: 406, Zaman: 693 ms
Mouse Hareket Etti - X: 108, Y: 407, Zaman: 694 ms
Mouse Hareket Etti - X: 101, Y: 408, Zaman: 695 ms
Mouse Hareket Etti - X: 95, Y: 409, Zaman: 696 ms
Mouse Hareket Etti - X: 86, Y: 410, Zaman: 697 ms
Mouse Hareket Etti - X: 81, Y: 411, Zaman: 698 ms
Mouse Hareket Etti - X: 73, Y: 412, Zaman: 699 ms
Mouse Hareket Etti - X: 67, Y: 413, Zaman: 700 ms
Mouse Hareket Etti - X: 61, Y: 414, Zaman: 701 ms
Mouse Hareket Etti - X: 55, Y: 415, Zaman: 702 ms
Mouse Hareket Etti - X: 50, Y: 416, Zaman: 703 ms
Mouse Hareket Etti - X: 45, Y: 417, Zaman: 704 ms
Mouse Hareket Etti - X: 39, Y: 417, Zaman: 705 ms
Mouse Hareket Etti - X: 36, Y: 418, Zaman: 706 ms
Mouse Hareket Etti - X: 30, Y: 419, Zaman: 707 ms
Mouse Hareket Etti - X: 27, Y: 419, Zaman: 708 ms
Mouse Hareket Etti - X: 24, Y: 420, Zaman: 709 ms
Mouse Hareket Etti - X: 21, Y: 420, Zaman: 710 ms
Mouse Hareket Etti - X: 18, Y: 420, Zaman: 711 ms
Mouse Hareket Etti - X: 15, Y: 421, Zaman: 712 ms
Mouse Hareket Etti - X: 13, Y: 421, Zaman: 713 ms
Mouse Hareket Etti - X: 11, Y: 422, Zaman: 714 ms
Mouse Hareket Etti - X: 10, Y: 422, Zaman: 715 ms
Mouse Hareket Etti - X: 9, Y: 424, Zaman: 738 ms
Mouse Hareket Etti - X: 10, Y: 424, Zaman: 739 ms
Mouse Hareket Etti - X: 11, Y: 424, Zaman: 740 ms
Mouse Hareket Etti - X: 13, Y: 424, Zaman: 741 ms
Mouse Hareket Etti - X: 16, Y: 424, Zaman: 742 ms
Mouse Hareket Etti - X: 17, Y: 424, Zaman: 743 ms
Mouse Hareket Etti - X: 19, Y: 424, Zaman: 744 ms
Mouse Hareket Etti - X: 22, Y: 424, Zaman: 745 ms
Mouse Hareket Etti - X: 24, Y: 424, Zaman: 746 ms
Mouse Hareket Etti - X: 27, Y: 424, Zaman: 747 ms
Mouse Hareket Etti - X: 29, Y: 424, Zaman: 748 ms
Mouse Hareket Etti - X: 31, Y: 424, Zaman: 749 ms
Mouse Hareket Etti - X: 35, Y: 424, Zaman: 750 ms
Mouse Hareket Etti - X: 38, Y: 423, Zaman: 751 ms
Mouse Hareket Etti - X: 42, Y: 423, Zaman: 752 ms
Mouse Hareket Etti - X: 45, Y: 423, Zaman: 753 ms
Mouse Hareket Etti - X: 48, Y: 423, Zaman: 754 ms
Mouse Hareket Etti - X: 52, Y: 422, Zaman: 755 ms
Mouse Hareket Etti - X: 55, Y: 422, Zaman: 756 ms
Mouse Hareket Etti - X: 58, Y: 421, Zaman: 757 ms
Mouse Hareket Etti - X: 62, Y: 421, Zaman: 758 ms
Mouse Hareket Etti - X: 65, Y: 420, Zaman: 759 ms
Mouse Hareket Etti - X: 68, Y: 420, Zaman: 760 ms
Mouse Hareket Etti - X: 73, Y: 419, Zaman: 761 ms
Mouse Hareket Etti - X: 76, Y: 419, Zaman: 762 ms
